,city,Area,education,remote,experience,fulltime,label,Target,labelTree
437,2,3,2,2,2,2,3,2,4
438,2,3,2,2,2,2,3,5,4
439,3,1,1,1,1,2,2,2,3
440,3,1,1,2,1,1,5,3,6
441,2,2,1,2,1,1,5,3,6
442,3,1,1,2,1,1,5,2,6
443,2,3,2,2,2,2,3,5,4
444,2,2,2,2,2,2,3,1,4
445,3,1,1,2,1,1,5,5,6
446,3,1,1,1,1,2,2,2,3
447,3,3,1,2,1,1,5,2,6
448,3,3,1,2,1,1,5,5,6
449,3,1,1,2,1,1,5,3,6
450,1,1,2,2,2,1,2,1,3
451,3,3,1,2,1,1,5,2,6
452,2,2,2,2,2,2,3,2,4
453,1,3,2,1,2,1,1,2,2
454,2,2,1,2,1,1,5,4,6
455,2,2,2,2,2,2,3,1,4
456,3,1,1,2,1,1,5,5,6
457,3,3,1,2,1,1,5,5,6
458,2,2,1,2,1,1,5,5,6
459,3,3,1,2,1,1,5,5,6
460,1,3,2,1,2,1,1,2,2
461,3,3,1,2,1,1,5,5,6
462,2,3,2,2,2,2,3,3,4
463,2,2,2,2,2,2,3,2,4
464,2,3,2,2,2,2,3,5,4
465,3,1,1,2,1,1,5,3,6
466,2,2,2,2,2,2,3,2,4
467,2,2,1,2,1,1,5,5,6
468,3,1,1,1,1,2,2,2,3
469,2,2,2,2,2,2,3,2,4
470,3,3,1,2,1,1,5,5,6
471,3,1,1,2,1,1,5,1,6
472,1,3,2,1,2,1,1,2,2
473,2,3,2,2,2,2,3,5,4
474,2,2,2,2,2,2,3,3,4
475,2,3,2,2,2,2,3,2,4
476,3,3,1,2,1,1,5,2,6
477,3,3,1,2,1,1,5,3,6
478,3,1,1,2,1,1,5,2,6
479,3,3,1,2,1,1,5,3,6
480,3,3,1,2,1,1,5,5,6
481,3,3,1,2,1,1,5,3,6
482,1,1,2,2,2,1,2,2,3
483,3,1,1,2,1,1,5,2,6
484,2,2,2,2,2,2,3,3,4
485,2,2,1,2,1,1,5,2,6
